"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","100/2394","391/8545",0.255754475703325,0.912874684580163,-1.10018879595514,0.877128829478913,1,0.659038901601831,"NDUFS1/FAS/WNT8A/ATG2B/TNFRSF1A/LRP6/CSNK2A2/PTGS2/PIK3C3/WNT11/NOS1/MAPK1/TUBB1/DKK4/SLC39A14/MAPK8/PPP3CB/MAPK10/WNT5B/RTN4/AKT3/PPP3CC/PIK3CA/ITPR2/LRP1/WNT1/IL1B/KLC1/ATG14/COX4I2/RAF1/RTN3/WNT2B/APC/IL6/TUBB2A/TUBB2B/APH1B/PPP3CA/UQCRC2/APP/SNCA/PIK3R1/NRBF2/ITPR1/CACNA1C/SLC25A4/ATP5F1A/DKK2/FZD7/GNAQ/FZD1/BRAF/WNT9B/COX7A1/LRP5/FZD5/NDUFS4/APBB1/CHRFAM7A/TUBA1A/CTNNB1/CHRM1/AXIN2/MAP2K1/IRS1/WNT10B/FZD4/CHRNA7/LPL/TUBB6/CSNK1A1L/PLCB1/GRIN2A/CSF1/IRS2/BACE1/COX8C/PPP3R2/PIK3R4/MME/MAP3K5/CALM1/ND6/CYTB/ND2/ND5/COX1/RYR3/ND3/ND4/ND1/ATP6/COX3/SDHD/CASP12/ND4L/ATP8/GRIN2B/PSEN2",100,100,391
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","7/2394","34/8545",0.205882352941176,0.734864121087031,-0.966356771607715,0.879070950520779,1,0.659038901601831,"AKR1B1/PMM1/ALDOC/ALDOB/PFKFB1/PFKFB3/AKR1B15",7,7,34
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","32/2394","134/8545",0.238805970149254,0.852379705482612,-1.07447045854501,0.880489205244084,1,0.659038901601831,"FYN/FAS/IFNGR1/SH3BP2/MAPK1/SOS2/NFATC2/PPP3CB/ICAM2/SOS1/IFNA8/PPP3CC/PIK3CA/CD244/NFATC1/RAF1/KLRC1/PPP3CA/IFNAR1/PIK3R1/SHC3/PRKCA/BRAF/MAP2K1/PTPN11/PPP3R2/PLCG2/SH2D1B/RAET1G/MICA/HLA-E/KLRK1",32,32,134
"hsa04914","Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","26/2394","111/8545",0.234234234234234,0.83606162553531,-1.08453892778307,0.884627468401812,1,0.659038901601831,"IGF1/ANAPC4/RPS6KA2/MAPK1/MAPK8/CPEB3/MAPK10/MAPK14/GNAI2/AKT3/PIK3CA/GNAI1/ADCY4/RAF1/ADCY3/PIK3R1/PDE3B/BRAF/ANAPC16/MAP2K1/ADCY5/ADCY6/RPS6KA3/MAPK11/SPDYE18/CPEB1",26,26,111
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","37/2394","158/8545",0.234177215189873,0.835858105178558,-1.29916554403366,0.919542049935488,1,0.659038901601831,"ANAPC4/PPP2R5A/PPP2R5B/PPP2R5C/CDC14A/CDC14B/ATRX/ABL1/GADD45B/EP300/STAG2/RBL2/PPP2CB/CDK6/CCND3/TFDP2/GADD45A/STAG1/CCND2/CDKN2C/CDKN1A/CDKN1C/CCNH/MYC/PPP2R1B/RB1/SMAD4/CDKN2B/ATM/NIPBL/ANAPC16/WEE1/SMAD3/YWHAG/SMAD2/WEE2/CDC14C",37,37,158
"hsa00900","Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","4/2394","23/8545",0.173913043478261,0.620754785514511,-1.13614324783145,0.920813446101346,1,0.659038901601831,"ACAT1/PCYOX1/DHDDS/HMGCS2",4,4,23
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","77/2394","312/8545",0.246794871794872,0.880894811815864,-1.33705338640686,0.920813446595599,1,0.659038901601831,"VIM/ROCK1/HDAC4/TP63/PTGS2/ABCB1/SIRT1/ABL1/MAPK1/TIMP3/EP300/SOS2/DICER1/RPS6KA5/CDK6/MET/HDAC5/CCNG1/PDGFRB/SOS1/CCND2/TNN/PIK3CA/RECK/CDKN1A/HOXD10/BCL2L2/RAF1/NOTCH2/PDGFRA/APC/SPRY2/MYC/PIM1/RDX/TPM1/MCL1/PIK3R1/EGFR/NOTCH1/ZEB1/ATM/PRKCA/CRK/TNXB/MAP2K1/IRS1/ZEB2/ZFPM2/PRKCE/PTEN/EFNA5/IRS2/PDGFA/PLCG2/MIRLET7C/MIR324/MIR26A1/MIR101-1/MIR126/MIR331/BMPR2/NOTCH4/SERPINB5/MIR23B/MIR181D/MIR32/MIR222/MIR10B/MIR26A2/MIR27B/MIR221/MIR125B1/MIR106B/ITGB3/MIR145/MIR205",77,77,312
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","11/2394","54/8545",0.203703703703704,0.727087781181348,-1.25504780694973,0.924242582724086,1,0.659038901601831,"PLPP1/ACER3/B4GALT6/KDSR/SGPP1/GAL3ST1/PLPP3/SGMS2/SPTLC3/ACER2/SGMS1",11,11,54
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","11/2394","54/8545",0.203703703703704,0.727087781181348,-1.25504780694973,0.924242582724086,1,0.659038901601831,"FAS/CD40/IL2/IL4/IL5/TPO/IFNA8/TSHB/IL10/TSHR/HLA-E",11,11,54
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","37/2394","159/8545",0.232704402515723,0.830601135963599,-1.34509034756218,0.926396387599707,1,0.659038901601831,"CFLAR/FAS/IFNGR1/TNFRSF1A/PYGM/FTL/TRPM7/JAK2/PYGL/PYGB/MAPK8/MAPK10/BIRC2/CHMP3/PLA2G4A/IFNA8/IL1B/STAT5A/VPS4A/TLR4/IL33/RIPK1/CASP1/STAT4/IFNAR1/CAMK2D/CAMK2G/GLUD1/SLC25A4/JAK1/NLRP3/TLR3/STAT6/JMJD7-PLA2G4B/STAT5B/PLA2G4B/CHMP1B",37,37,159
"hsa04966","Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","5/2394","28/8545",0.178571428571429,0.637382145840792,-1.19896002951044,0.926686211215955,1,0.659038901601831,"SLC4A1/ATP6V0A1/ATP4A/CLCNKB/ATP6V1E2",5,5,28
"hsa00860","Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","9/2394","46/8545",0.195652173913043,0.698349133703825,-1.27973311311097,0.93026389792272,1,0.659038901601831,"COX15/FTL/HEPH/UROD/UGT2B28/MMAB/ALAD/ALAS2/FXN",9,9,46
"hsa00533","Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","2/2394","14/8545",0.142857142857143,0.509905716672634,-1.14488934335174,0.935474852119401,1,0.659038901601831,"ST3GAL2/CHST2",2,2,14
