"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","expDiff"
"ENSG00000154370.16",1863.56043960813,1.38994068878935,0.0637609086553691,21.7992609908063,2.35792992603406e-105,2.4044058276942e-103,"up"
"ENSG00000154380.17",16442.2393774496,0.892209277065147,0.0733159309394981,12.1693780005524,4.52517585369396e-34,5.37166648849827e-33,"up"
"ENSG00000154415.8",0.451726675957236,0.643129677386348,0.902936813996363,0.712264321730201,0.476301112998358,0.563063425216365,"no_change"
"ENSG00000154429.11",1314.86452738767,0.49885430683022,0.0732114324751227,6.81388534502082,9.49974271108703e-12,3.81698745087424e-11,"up"
"ENSG00000154438.8",2.85190153458319,3.68705317326963,0.518330241355236,7.11332829747575,1.13277389589479e-12,4.84258196298255e-12,"up"
"ENSG00000154447.15",3388.95871310602,0.495044332641542,0.0726882082551488,6.8105177514329,9.72481118230869e-12,3.90639129656083e-11,"up"
"ENSG00000154451.14",1507.66590888469,2.54996164616226,0.172554665990231,14.777703236994,2.04005002303453e-49,4.25141967704305e-48,"up"
"ENSG00000154473.18",8723.35889246415,1.06089744635145,0.0617765639805264,17.1731378049105,4.21978774739421e-66,1.44289008225873e-64,"up"
"ENSG00000154478.4",149.564620108592,3.66629637258845,0.311012844116293,11.7882474693475,4.48782548439364e-32,4.88412383653346e-31,"up"
"ENSG00000154479.13",57.267212377658,0.30798527403437,0.120919687158185,2.54702341093117,0.0108646144223057,0.0185890050499371,"up"
"ENSG00000154485.5",29.3848093624776,-0.0638794334564109,0.107768115369389,-0.592748914996388,0.553349200334805,0.635873130470322,"no_change"
"ENSG00000154493.19",60.9819032378184,-2.41044456098528,0.235280742833594,-10.2449717386777,1.24661308150581e-24,9.84072067874885e-24,"down"
"ENSG00000154511.12",920.569061694143,-1.13371094468109,0.0748028666970404,-15.1559825811588,6.9173109316644e-52,1.55021576606096e-50,"down"
"ENSG00000154518.10",8394.67172756472,0.149933066007223,0.0604183455128425,2.48158179001034,0.0130800688471421,0.0221132468859907,"up"
"ENSG00000154529.15",57.3003180154512,-2.74900642526145,0.168482271196179,-16.3162949178227,7.55861803584674e-60,2.11923653870939e-58,"down"
"ENSG00000154545.16",2.03214457993255,-0.366414290277172,0.201600601957306,-1.81752577482269,0.0691366453529475,0.102365946537022,"no_change"
"ENSG00000154548.9",91.1975262445181,0.11736262704826,0.178203169261071,0.658588887812215,0.510159800505724,0.595737259389782,"no_change"
"ENSG00000154553.16",2153.83875320866,-2.52336238346797,0.118772301719229,-21.2453774738917,3.63766955330433e-100,3.25930920739802e-98,"down"
"ENSG00000154556.18",3408.70450723359,-1.00837708144339,0.129162151498799,-7.80706321273038,5.8535915308653e-15,2.85965309689146e-14,"down"
"ENSG00000154582.17",3234.93333705912,0.966500009924407,0.0699868320271947,13.8097408030821,2.2263118881456e-43,3.7093045778292e-42,"up"
"ENSG00000154589.7",356.801987210166,-0.274158297473566,0.0886124257107659,-3.09390353863496,0.0019754170246751,0.00376600884721642,"down"
"ENSG00000154608.14",14.0623900616872,0.0596523934361697,0.138114473785895,0.431905446265124,0.665810136265296,0.735355640349191,"no_change"
"ENSG00000154611.15",4.50701074578129,-0.172633679840247,0.241966849030157,-0.713460048482637,0.475561126595788,0.562353313858728,"no_change"
"ENSG00000154620.6",0.391287330501101,1.043839898417,1.41242602301503,0.739040403821484,0.459882463416311,0.546830764511513,"no_change"
"ENSG00000154639.19",2288.89823767228,0.372880531230806,0.139250105104319,2.67777558193916,0.00741128566441115,0.0130084613434949,"up"
"ENSG00000154640.15",1233.72897403724,-0.0247850526428055,0.110019693890577,-0.225278327600657,0.821762758432599,0.861601353275546,"no_change"
"ENSG00000154642.11",1291.15684090403,-0.428105387592928,0.0854155106883345,-5.01203334315949,5.38578685077039e-07,1.51383296066378e-06,"down"
"ENSG00000154645.14",145.660796323061,0.135057975882224,0.216233544627673,0.624593081127986,0.532238161836399,0.6165500516061,"no_change"
"ENSG00000154646.9",2.93246848895105,0.811599568365287,0.384273952684412,2.11203377875528,0.0346835521304146,0.0545546335835847,"no_change"
"ENSG00000154654.15",1154.42367715347,1.49607732880437,0.176217817040275,8.48993225504797,2.06757588628346e-17,1.14273251996002e-16,"up"
"ENSG00000154655.16",317.225240292733,-0.95428444950789,0.151986212349404,-6.27875670270713,3.41291168889228e-10,1.23447749783483e-09,"down"
"ENSG00000154678.18",380.918052837031,-2.73797720429655,0.154288024884001,-17.7458827822513,1.85462614977133e-70,7.37741600932061e-69,"down"
"ENSG00000154710.18",130.226012963019,0.28562547893039,0.0682626743857045,4.18421167205551,2.86157384796734e-05,6.77126252670344e-05,"up"
"ENSG00000154719.14",1209.08813358332,0.113762211429293,0.0547432078090074,2.0781064168946,0.0376995587732624,0.0588561495698101,"no_change"
"ENSG00000154721.15",1180.25152358284,-2.06056960228641,0.0942255946295499,-21.8684701368836,5.18676058269861e-106,5.42182267759945e-104,"down"
"ENSG00000154723.12",3132.32873641223,0.031223009468883,0.0635106599602485,0.491618406869423,0.622989128565308,0.698541798333765,"no_change"
"ENSG00000154727.11",2073.53220829116,-0.469471512407283,0.0467938501470859,-10.0327609489624,1.09413540869869e-23,8.28701235521417e-23,"down"
"ENSG00000154734.16",4237.88689982353,-2.2290356476043,0.125470514581702,-17.7654140898006,1.30970113984262e-70,5.23708879368508e-69,"down"
"ENSG00000154736.6",1428.10849961149,-3.04017119757816,0.115916452476375,-26.2272622447428,1.29909430113306e-151,3.39880186156441e-149,"down"
"ENSG00000154743.18",628.104214239932,0.214667903293685,0.0498841200678265,4.30333146103017,1.68248847074215e-05,4.0890033777233e-05,"up"
"ENSG00000154760.14",994.284635604069,-0.461139805201576,0.143354681416293,-3.21677534800873,0.0012964006722501,0.00253342886076959,"down"
"ENSG00000154764.6",5.13051869037903,1.18964469389891,0.244025697488889,4.87507957621175,1.08764602127269e-06,2.97584995123522e-06,"up"
"ENSG00000154767.15",1457.96272264535,-0.480213424306395,0.0635108327247273,-7.56112624735636,3.99594161897185e-14,1.85251303184109e-13,"down"
"ENSG00000154781.16",1310.9412487187,-0.0825955054441395,0.0401513324366644,-2.05710496841985,0.0396761299044854,0.0616832464406406,"no_change"
"ENSG00000154783.12",1872.99379366193,-1.02149625777825,0.102606830998221,-9.95544105436757,2.38761798467369e-23,1.77549276316851e-22,"down"
