	DGRP-551_1d_WholeBrain_Unstranded_RNA-seq	DGRP-551_1d_WholeBrain_Stranded_RNA-seq	w1118_1d_WholeBrain_Unstranded_RNA-seq	w1118_1d_WholeBrain_Stranded_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep1_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep2_RNA-seq
CG34229	11.04505882154067	22.89506015721192	13.17785266323355	22.71526951765191	7.419715844935794	22.514786682024404
out	33.135176464622006	33.070642449306106	35.76845722877678	57.54534944471818	47.698173288872965	64.85602730792104
Su(Ste):CR42406	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42407	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
Su(Ste):CR42408	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42409	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42410	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42411	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42412	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42414	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
Su(Ste):CR42415	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42416	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42417	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42418	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42419	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42420	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42421	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42422	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
Su(Ste):CR42424	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42425	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42426	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42427	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42428	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42429	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42430	0.0	0.0	0.0	0.0	1.0599594064193991	0.6720831845380418
Su(Ste):CR42431	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42432	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
Su(Ste):CR42433	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42438	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42439	0.0	0.0	0.0	0.0	0.0	0.0
Su(Ste):CR42444	0.0	0.0	0.0	0.0	0.0	0.0
Cap-G	250.7228352489732	211.14333256095438	208.96309223127486	177.1791022376849	241.67074466362303	130.0480962081111
Fs	110.082419588022	119.5630919321067	69.65436407709163	45.43053903530382	72.07723963651915	20.162495536141257
NimC1	40.1303803849311	38.1584335953532	32.00335646785291	30.287026023535883	8.479675251355193	9.409164583532586
CG42445	16.567588232311003	2.543895573023547	7.530201521847743	21.200918216475117	9.539634657774593	25.20311942017657
CG42446	0.0	0.0	0.0	0.0	0.0	1.0081247768070627
inaF-B	1.104505882154067	2.543895573023547	11.295302282771614	18.17221561412153	0.0	0.3360415922690209
Skadu	0.0	0.0	0.0	0.0	0.0	0.6720831845380418
Sep4	1446.1663683670583	1371.1597138596917	1694.2953424157422	1550.6957324050372	1222.1331956015672	1384.8274017406352
CG42449	0.368168627384689	0.0	1.8825503804619357	1.5143513011767942	2.1199188128387982	1.3441663690760837
CG42450	5998.203277351353	4924.981829373586	5146.892740182932	4453.707176760951	4124.302050377883	5383.050266557446
CG42455	0.0	0.0	0.0	0.0	0.0	0.0
CG42456	0.0	0.0	0.0	0.0	0.0	0.0
CG42458	360.0689175822258	290.00409532468433	402.8657814188542	342.24339406595544	439.88315366405067	502.38218044218627
Uhg3	34.97601960154545	96.66803177489477	18.82550380461936	62.088403348248555	119.77541292539212	98.79622812709215
Nop60B	118.18212939048516	106.84361406698896	97.89261978402065	74.20321375766291	236.37094763152604	126.35163869315187
cwo	437.3843293330105	343.4259023581788	427.3389363648594	399.78874351067367	702.7530864560617	533.6340485232053
Sfp23F	0.0	0.0	0.0	0.0	0.0	5.712707068573356
CG42460	0.0	0.0	0.0	1.5143513011767942	0.0	7.05687343764944
Sfp24Ba	0.736337254769378	2.543895573023547	9.41275190230968	3.0287026023535883	3.179878219258198	0.6720831845380418
Sfp24Bb	1.472674509538756	0.0	1.8825503804619357	3.0287026023535883	1.0599594064193991	0.0
Sfp24Bd	0.368168627384689	0.0	1.8825503804619357	4.5430539035303825	4.2398376256775965	0.6720831845380418
CG42464	0.0	0.0	0.0	0.0	0.0	0.0
CG42465	0.0	0.0	0.0	0.0	0.0	0.0
Sfp24C1	0.0	2.543895573023547	0.0	0.0	0.0	0.0
CG42467	0.0	0.0	0.0	0.0	0.0	0.0
Sfp24F	0.0	0.0	0.0	0.0	0.0	0.0
Sfp26Ac	0.0	0.0	0.0	0.0	0.0	0.0
CG42470	0.0	0.0	0.0	0.0	0.0	2.6883327381521673
CG42471	0.0	0.0	0.0	0.0	3.179878219258198	3.3604159226902093
Sfp33A1	0.0	0.0	0.0	0.0	0.0	0.0
Sfp33A2	0.0	0.0	0.0	0.0	0.0	0.0
Sfp33A3	0.736337254769378	0.0	0.0	0.0	0.0	0.6720831845380418
Sfp35C	0.0	0.0	0.0	0.0	0.0	1.3441663690760837
