"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","22/3832","54/8545",0.407407407407407,0.908480244336194,-0.608312809418109,0.77124605798096,1,0.870620354921887,"TG/GZMB/CD86/FASLG/CD80/CGA/CTLA4/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-C/HLA-G/HLA-F/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DQB2/HLA-B/HLA-DOB/HLA-DMB",22,22,54
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","9/3832","23/8545",0.391304347826087,0.87257193428338,-0.551763406256944,0.775546461744612,1,0.870620354921887,"SLC9A3/ATP1B3/PCK2/CA2/ATP1A3/ATP1A4/GLS2/ATP1B1/SLC25A10",9,9,23
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","36/3832","87/8545",0.413793103448276,0.922719746598517,-0.653264372636308,0.776307745729148,1,0.870620354921887,"BAD/RALA/BAK1/MAPK9/MLH1/ARAF/GSK3B/BAX/BIRC5/MSH2/AXIN1/BBC3/TGFB1/PIK3R2/RPS6KB1/CCND1/MSH6/PIK3R3/TGFB3/MAP2K2/RAC2/GADD45G/KRAS/RAC1/LEF1/TP53/PMAIP1/AKT1/BCL2L11/CASP3/RAC3/CYCS/HRAS/RPS6KB2/GRB2/NRAS",36,36,87
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","30/3832","73/8545",0.410958904109589,0.916399748334144,-0.646801013120746,0.77725772064416,1,0.870620354921887,"MTMR7/PI4K2B/MTMR1/SYNJ2/MIOX/CDIPT/ISYNA1/MINPP1/MTMR4/TPI1/FIG4/PLCH1/PLCD4/OCRL/IPPK/ITPKA/PLCB2/IMPA2/PI4KB/PIP5K1A/PLCB3/PIP4K2A/PI4K2A/MTMR14/INPPL1/PIP4K2C/PIP5KL1/INPP5J/PIP5K1C/PI4KA",30,30,73
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","24/3832","59/8545",0.406779661016949,0.907080428859559,-0.645767730153981,0.780800967810112,1,0.870620354921887,"BAD/BAK1/CDH1/CTNNA2/MLH1/ARAF/GSK3B/BAX/AXIN1/PIK3R2/CCND1/PIK3R3/ELK1/MAP2K2/GADD45G/KRAS/LEF1/PDPK1/TP53/ERBB2/AKT1/HRAS/GRB2/NRAS",24,24,59
"hsa04972","Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","44/3832","106/8545",0.415094339622642,0.925621381021783,-0.69478462564005,0.785709130482268,1,0.870620354921887,"PRSS3/RAB27B/ATP2B3/PLA2G10/ATP1B3/SCT/ATP2A3/ADCY2/CPB2/GNAS/SLC9A1/ITPR3/PLA2G3/RAB11A/CA2/ATP1A3/RAB3D/PLA2G2D/ADCY7/PRKCG/ATP1A4/RAC1/PLCB2/ATP1B1/PLCB3/CPB1/PLA2G2F/ADCY9/CCKAR/ADCY1/SLC4A2/RAB8A/CTRB1/CEL/ATP2A2/PNLIP/PNLIPRP1/CCK/PLA2G2C/ATP2A1/PRSS1/AMY2A/PNLIPRP2/PRSS2",44,44,106
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","65/3832","155/8545",0.419354838709677,0.935121893730218,-0.734983659208811,0.792599267216522,1,0.870620354921887,"E2F2/CAMK2B/CREB3L3/GNAI3/CAMK2A/ADCY2/GSK3B/GNAS/FH/ITPR3/CACNA1I/E2F1/CACNA1F/AXIN1/CCNE1/WNT2/CREB3/DVL1/WNT3/CCND1/AIP/CDKN1B/E2F3/WNT5A/RBBP5/CRHR1/ADCY7/CDK2/MAP2K2/AIPL1/ASH2L/MEN1/CDK4/AGT/WNT10A/NR5A1/PLCB2/LEF1/ARMC5/PRKACB/CREB3L4/WNT9A/NCEH1/CDKN2A/PLCB3/WNT3A/WNT7A/CACNA1D/CREB3L1/DVL3/ADCY9/WNT4/ADCY1/FZD6/CCNE2/FZD2/MC2R/PBX1/WNT7B/WDR5/CACNA1H/WDR5B/ATF6B/CYP21A2/ORAI1",65,65,155
"hsa04960","Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","15/3832","38/8545",0.394736842105263,0.880226074057796,-0.667206881835117,0.796250355645612,1,0.870620354921887,"NHERF2/ATP1B3/ATP1A3/PIK3R2/SCNN1A/PIK3R3/PRKCG/ATP1A4/KRAS/PDPK1/ATP1B1/FXYD4/SCNN1G/SFN/HSD11B2",15,15,38
"hsa00565","Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","20/3832","50/8545",0.4,0.8919624217119,-0.690832564933602,0.797156023216677,1,0.870620354921887,"PLA2G10/PAFAH1B3/PLA2G3/GDPD3/PLD3/PLA2G2D/PLAAT2/SELENOI/PLPP2/PLA2G7/LPCAT1/GDPD1/PAFAH2/PLA2G2F/PLA2G4D/PLD4/PLA2G4F/TMEM86B/PLA2G2C/PEDS1",20,20,50
"hsa00592","Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","10/3832","26/8545",0.384615384615385,0.857656174722981,-0.655428991697841,0.802373010315835,1,0.870620354921887,"PLA2G10/ACOX3/PLA2G3/PLA2G2D/PLAAT2/FADS2/PLA2G2F/PLA2G4D/PLA2G4F/PLA2G2C",10,10,26
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","86/3832","204/8545",0.42156862745098,0.940058434647345,-0.781319661939929,0.802859528888188,1,0.870620354921887,"PLAUR/CD44/ANK1/CAMK2B/GPC1/ERBB3/CAMK2A/CDC42/ACTB/ARHGEF1/ARAF/CTTN/SLC9A1/TFAP4/ESR1/EZR/ITPR3/HIF1A/MMP9/TGFB1/PIK3R2/WNT2/WNT3/RPS6KB1/COL1A1/VTN/CCND1/PTPN6/VEGFA/IL12B/DROSHA/WNT5A/FN1/SDC1/PIK3R3/FASLG/PLAU/SDC4/PRKCG/ELK1/MAP2K2/KRAS/VAV3/MDM2/WNT10A/RAC1/THBS1/ITGAV/LUM/IGF1R/PDPK1/TP53/ERBB2/VAV1/AKT1/PRKACB/WNT9A/PAK1/WNT3A/WNT7A/TIAM1/MAPK13/VAV2/ITGA5/WNT4/IHH/CASP3/SHH/COL1A2/FZD6/FRS2/NUDT16L1/PTK2/PPP1CA/HPSE/HRAS/RPS6KB2/GRB2/FZD2/HCLS1/ACTG1/WNT7B/MAPK12/SRC/NRAS/TNF",86,86,204
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","38/3832","93/8545",0.408602150537634,0.911144409275597,-0.7768570990071,0.810774291783171,1,0.870620354921887,"ITGA2B/E2F2/BAK1/TRAF1/TRAF4/TRAF5/BAX/BIRC7/E2F1/XIAP/IKBKB/CCNE1/PIK3R2/CCND1/CDKN1B/E2F3/FN1/ZBTB17/PIK3R3/CDK2/CKS2/MAX/TRAF2/GADD45G/LAMA5/CDK4/ITGAV/TP53/AKT1/SKP2/CASP3/PTK2/BCL2L1/CYCS/RELA/CKS1B/CCNE2/IKBKG",38,38,93
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","68/3832","163/8545",0.417177914110429,0.930267556386644,-0.810493448122156,0.813107969276834,1,0.870620354921887,"BAD/E2F2/BID/MAPK9/CREB3L3/CASP8/ATP6AP1/ARAF/VDAC3/BAX/BIRC5/NFATC4/MMP9/E2F1/IKBKB/CCNE1/TGFB1/TYK2/JAK3/PIK3R2/CREB3/RIGI/E2F3/IFIH1/STAT1/PIK3R3/FASLG/TGFB3/CDK2/IRF3/PRKCG/ELK1/MAP2K2/TICAM1/PCNA/CCNA1/KRAS/YWHAQ/TP53/AKT1/CREB3L4/CCNA2/MAPK13/CREB3L1/CASP3/YWHAZ/YWHAB/DDB1/FADD/CXCL8/STAT2/IFNB1/CYCS/MYD88/RELA/HRAS/CCNE2/GRB2/TBK1/IRAK1/IRF7/MAPK12/SRC/NRAS/ATF6B/TNF/IKBKE/IKBKG",68,68,163
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","40/3832","98/8545",0.408163265306122,0.910165736440714,-0.806489008477526,0.818044770078442,1,0.870620354921887,"CAMK1G/CAMK2B/CREB3L3/ATP2B3/ATP1B3/CAMK2A/ADCY2/GNAS/ITPR3/CACNA1I/CACNA1F/PRKD2/ATP1A3/CREB3/ADCY7/PRKCG/ATP1A4/AGT/PLCB2/PRKACB/ATP1B1/CREB3L4/CALM2/PLCB3/CAMK4/CACNA1D/CREB3L1/CALM3/ADCY9/DAGLB/ADCY1/KCNK9/CALML6/CALML5/CAMK1D/MC2R/CACNA1H/ATF6B/CYP21A2/ORAI1",40,40,98
"hsa00561","Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","26/3832","65/8545",0.4,0.8919624217119,-0.788366647976807,0.81929145727622,1,0.870620354921887,"AGK/DGKA/DGKD/PNPLA3/GLA/AKR1A1/ALDH1B1/PLPP2/MBOAT2/DGKQ/PLPP5/DGKZ/TKFC/AGPAT5/GPAT4/AGPAT3/CEL/MBOAT1/LCLAT1/PNLIP/PNLIPRP1/GK/PLPP4/ABHD16A/GK3/PNLIPRP2",26,26,65
"hsa00310","Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","25/3832","63/8545",0.396825396825397,0.884883354872916,-0.826901757900169,0.829846814127595,1,0.870620354921887,"PLOD1/SETD1A/SUV39H1/DOT1L/GCDH/PLOD3/EZH2/NSD2/ACAT2/COLGALT1/KMT5C/ALDH1B1/SETD1B/SETDB1/SMYD2/CAMKMT/NSD3/SUV39H2/PIPOX/EHMT1/DHTKD1/KMT5A/SMYD3/EHMT2/KMT2B",25,25,63
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","55/3832","134/8545",0.41044776119403,0.915259947652136,-0.891480731612124,0.836191852514545,1,0.870620354921887,"ITGAL/TYROBP/BID/LCP2/ARAF/LAT2/ICAM1/GZMB/PIK3R2/IFNG/PTPN6/ULBP1/ZAP70/CD48/PIK3R3/FASLG/HCST/PRKCG/MAP2K2/RAC2/ULBP2/KRAS/VAV3/RAC1/VAV1/PAK1/RAET1L/FCER1G/IFNGR2/ITGB2/VAV2/SHC1/CASP3/RAET1E/SYK/RAC3/IFNB1/HRAS/GRB2/LCK/SH2D1A/KIR2DL4/CD247/FCGR3A/NCR3/MICB/HLA-C/HLA-G/KLRC2/HLA-A/NRAS/LAT/TNF/HLA-B/KIR3DL2",55,55,134
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","72/3832","174/8545",0.413793103448276,0.922719746598517,-0.928643751349661,0.842729563409817,1,0.870620354921887,"PRICKLE3/CCDC88C/MAPK9/CAMK2B/CAMK2A/GPC4/PSEN1/GSK3B/NLK/BAMBI/RBX1/CHD8/NFATC4/CSNK2A1/RSPO4/TBL1X/PORCN/AXIN1/CCN4/TLE6/WNT2/DVL1/DKK1/RNF43/WNT3/CCND1/PPARD/WNT5A/CACYBP/PRKCG/RAC2/WNT10A/RAC1/PLCB2/LEF1/PRICKLE1/TLE3/TP53/PRKACB/WNT9A/SFRP2/NKD2/RSPO2/PLCB3/WNT3A/WNT7A/CCAR2/CTBP1/DVL3/WNT4/VANGL2/FZD6/FRAT1/BTRC/SOST/CXXC4/ROR2/RAC3/CTNND2/VANGL1/CTBP2/RUVBL1/TBL1XR1/FZD2/FRAT2/NOTUM/WNT7B/CSNK2B/CSNK1E/CSNK2A3/TLE7/PRICKLE4",72,72,174
"hsa01040","Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","10/3832","27/8545",0.37037037037037,0.825891131214722,-0.81701232520368,0.84397172792719,1,0.870620354921887,"ELOVL1/HACD3/ACOX3/ACOT7/TECR/ELOVL4/FADS2/ACOT4/HACD4/ELOVL2",10,10,27
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","6/3832","17/8545",0.352941176470588,0.787025666216382,-0.792542906745151,0.850198349051853,1,0.870620354921887,"SLC27A5/HSD3B7/ACOT8/CYP27A1/ACOX2/AMACR",6,6,17
"hsa00910","Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","6/3832","17/8545",0.352941176470588,0.787025666216382,-0.792542906745151,0.850198349051853,1,0.870620354921887,"CA12/CA2/CA9/CA14/CA7/CA5A",6,6,17
"hsa03273",NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","6/3832","17/8545",0.352941176470588,0.787025666216382,-0.792542906745151,0.850198349051853,1,0.870620354921887,"LAMP2/TFRC/MYH14/PCDH1/LAMP1/PCDH20",6,6,17
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","23/3832","59/8545",0.389830508474576,0.869285410990411,-0.908433631437575,0.850899142130402,1,0.870620354921887,"LAP3/GGCT/RRM2B/GGT1/GSS/SMS/GSR/GPX7/SRM/TXNDC12/CHAC1/GSTM3/CHAC2/NAT8/GSTO1/G6PD/GPX8/RRM1/RRM2/GSTA3/OPLAH/IDH2/GSTA2",23,23,59
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","70/3832","170/8545",0.411764705882353,0.918196610585779,-0.971399781514974,0.8530624875058,1,0.870620354921887,"BAD/E2F2/DPF1/BAK1/SMARCD1/SMARCE1/ACTB/ACTL6B/ARAF/KEAP1/GSK3B/BAX/SMARCB1/HMOX1/E2F1/AXIN1/TGFB1/PIK3R2/WNT2/DVL1/WNT3/RPS6KB1/SMARCD2/CCND1/E2F3/WNT5A/PIK3R3/ARID1A/TGFB3/PRKCG/ELK1/MAP2K2/SMARCA4/GADD45G/KRAS/GSTM3/CDK4/WNT10A/ACTL6A/LEF1/IGF1R/TP53/AKT1/WNT9A/CDKN2A/GSTO1/WNT3A/WNT7A/SHC1/DVL3/WNT4/TERT/FZD6/FRAT1/BCL2L1/SMARCC1/GSTA3/HRAS/RPS6KB2/GRB2/FZD2/NQO1/FRAT2/ACTG1/TXNRD2/WNT7B/ARID2/TXNRD1/NRAS/GSTA2",70,70,170
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","35/3832","88/8545",0.397727272727273,0.886894453406719,-0.961638237502288,0.857711319307744,1,0.870620354921887,"PLAUR/F7/CPB2/SERPINE1/VTN/KNG1/PROC/CR2/CD46/SERPINC1/PLG/PLAU/F2RL3/F12/CFHR4/SERPINE2/ITGAX/F13B/ITGB2/F2RL2/C2/ITGAM/FGG/FGB/C8G/F2/F2R/SERPINA5/SERPINA1/SERPINB2/CR1L/F5/C4B/CFB/C4A",35,35,88
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","27/3832","69/8545",0.391304347826087,0.87257193428338,-0.958272030375356,0.860096431526374,1,0.870620354921887,"BTK/LCP2/MAPK9/PIK3R2/PIK3R3/MAP2K2/RAC2/ALOX5AP/KRAS/VAV3/RAC1/PDPK1/VAV1/AKT1/MAPK13/FCER1G/PLA2G4D/VAV2/SYK/PLA2G4F/RAC3/HRAS/GRB2/MAPK12/NRAS/LAT/TNF",27,27,69
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","57/3832","141/8545",0.404255319148936,0.901451383645005,-1.06392671894721,0.875031421797776,1,0.870620354921887,"ITGA2B/NOX1/MAPK9/CYBA/GPC1/PRKCZ/ACTB/KEAP1/HSP90AA1/ICAM1/HSP90AB1/HMOX1/MMP9/IKBKB/PIAS4/PIK3R2/IFNG/VEGFA/IL1R2/SDC1/SUMO1/ARHGEF2/NCF2/PIK3R3/SDC4/RAC2/GSTM3/RAC1/TXN/ITGAV/BMPR1B/TP53/AKT1/CALM2/GSTO1/MAPK13/NCF1/CALM3/SQSTM1/PRKAA2/HSP90B1/PTK2/RAC3/CALML6/RELA/GSTA3/SUMO4/CALML5/NQO1/ACTG1/SUMO3/MAPK12/SUMO2/SRC/TNF/GSTA2/IKBKG",57,57,141
"hsa04130","Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","12/3832","33/8545",0.363636363636364,0.810874928829,-0.981487825878511,0.876957229627831,1,0.870620354921887,"SNAP29/STX4/STX1A/YKT6/BNIP1/VAMP8/STX6/STX5/STX3/STX18/BET1L/SEC22B",12,12,33
"hsa04975","Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","16/3832","43/8545",0.372093023255814,0.829732485313395,-1.00925317546448,0.878127168781476,1,0.870620354921887,"NPC1L1/PLA2G10/PLA2G3/PLA2G2D/APOA1/ACAT2/GOT2/CLPS/PLPP2/PLA2G2F/SLC27A4/CEL/PNLIP/PNLIPRP1/PLA2G2C/PNLIPRP2",16,16,43
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","25/3832","65/8545",0.384615384615385,0.857656174722981,-1.03870455236038,0.878192362374613,1,0.870620354921887,"CREB3L3/ADCY2/GNAS/ITPR3/CACNA1I/CACNA1F/CREB3/ADCY7/AGT/NR5A1/PLCB2/PRKACB/CREB3L4/NCEH1/PLCB3/CACNA1D/CREB3L1/ADCY9/ADCY1/MC2R/PBX1/CACNA1H/ATF6B/CYP21A2/ORAI1",25,25,65
"hsa00062","Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","10/3832","28/8545",0.357142857142857,0.796395019385625,-0.973013217452375,0.878371982312537,1,0.870620354921887,"ELOVL1/HACD3/ACOT7/TECR/ELOVL4/PPT1/THEM4/ACOT4/HACD4/ELOVL2",10,10,28
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","87/3832","212/8545",0.410377358490566,0.915102956237444,-1.12863745183031,0.884898065789949,1,0.870620354921887,"ITGAL/ITGA2B/RALA/FARP2/CDH1/LCP2/KITLG/BCAR1/LPAR2/GNAI3/PRKCZ/FGFR3/PFN2/FGF22/CDC42/FGF4/ACTB/RAP1GAP/ADCY2/MAGI3/FYB1/GNAO1/GNAS/EFNA2/PARD6A/PRKD2/FGF21/PIK3R2/SIPA1L3/PFN1/VEGFA/SIPA1L2/PIK3R3/ADCY7/PARD6B/VASP/PRKCG/MAP2K2/F2RL3/ADORA2A/RAC2/KRAS/VAV3/RAC1/THBS1/PLCB2/FGF5/IGF1R/SKAP1/VAV1/AKT1/EFNA3/CALM2/PLCB3/ENAH/TIAM1/MAPK13/RAPGEF6/CALM3/ITGB2/VAV2/FGFR4/ADCY9/PRKCI/ADCY1/RGS14/EFNA1/RAC3/CALML6/ITGAM/LPAR3/HRAS/PFN4/GRIN1/CALML5/F2R/ACTG1/LPAR5/FGF3/MAPK12/EVL/SRC/NRAS/SIPA1/LAT/EFNA4/RASSF5",87,87,212
"hsa04980","Organismal Systems","Digestive system","hsa04980","Cobalamin transport and metabolism","6/3832","18/8545",0.333333333333333,0.74330201809325,-0.983003865438452,0.890086992960431,1,0.870620354921887,"ZNF76/PRDX1/MTRR/MMACHC/CBLIF/HCFC1",6,6,18
"hsa00040","Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","13/3832","36/8545",0.361111111111111,0.805243852934354,-1.0558392751497,0.890302104948532,1,0.870620354921887,"XYLB/DHDH/UGT2B10/UGDH/AKR1A1/UGT2A3/SORD/UGT2B4/UGT1A6/DCXR/GUSB/RPE/UGT2B17",13,13,36
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","28/3832","73/8545",0.383561643835616,0.855306431778534,-1.11946967446658,0.892628290684833,1,0.870620354921887,"BAD/E2F2/BAK1/ARAF/BAX/STK4/E2F1/JAK3/PIK3R2/CCND1/E2F3/PIK3R3/PRKCG/MAP2K2/GADD45G/KRAS/CDK4/PDPK1/TP53/ERBB2/AKT1/CDKN2A/RET/KIF5C/HRAS/GRB2/NRAS/RASSF5",28,28,73
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","40/3832","102/8545",0.392156862745098,0.874472962462647,-1.1499623479449,0.894837347509407,1,0.870620354921887,"ITGAL/KRT33A/ICAM1/KRT31/KRT37/SELPLG/KRT18/PLG/KRT36/KRT34/FCGR2A/FCGR1A/ITGB2/CAMP/C2/KRT24/ITGAM/KRT19/KRT38/KRT20/FGG/HLA-DQB1/KRT10/KRT16/KRT12/FPR3/HLA-DRB1/HLA-DQA1/KRT35/HLA-DRB5/FCGR3A/HLA-DRA/HLA-DPB1/C4B/HLA-DPA1/HLA-DQB2/HLA-DOB/HLA-DMB/CFB/C4A",40,40,102
"hsa04922","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","42/3832","107/8545",0.392523364485981,0.875290226913547,-1.17048881363489,0.89813414450936,1,0.870620354921887,"CAMK2B/CREB3L3/PFKP/PHKA1/PKM/CAMK2A/ADCY2/GNAS/ITPR3/PPP4R3A/PCK2/CREB3/PRKAG3/SLC2A1/PRMT1/FBP2/LDHA/PLCB2/G6PC3/PFKL/AKT1/PRKACB/CREB3L4/CALM2/PLCB3/PPP4C/PHKG2/CREB3L1/CALM3/CRTC2/PRKAA2/FBP1/LDHC/CPT1C/CALML6/PGAM1/CALML5/PRKAG1/CPT1B/GCGR/PPP4R3C/PGAM4",42,42,107
"hsa00920","Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","3/3832","10/8545",0.3,0.668971816283925,-0.944404088586185,0.898842288269203,1,0.870620354921887,"ETHE1/SQOR/BPNT1",3,3,10
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","63/3832","157/8545",0.401273885350318,0.894803066367033,-1.19954997577381,0.900214026461722,1,0.870620354921887,"TEAD3/CDH1/CTNNA2/PRKCZ/LLGL2/PPP2R2C/TEAD2/ACTB/DLG3/GSK3B/BIRC5/BMP7/PARD6A/AXIN1/STK3/AMH/BBC3/TGFB1/PPP2R1A/WNT2/SERPINE1/DVL1/WNT3/YWHAE/CCND1/PPP2CA/WNT5A/MOB1A/ID2/BMP8B/TGFB3/PARD6B/YWHAH/PATJ/YWHAQ/WNT10A/BMPR1B/LEF1/CSNK1D/TP53BP2/WNT9A/LIMD1/NKD2/DLG5/WNT3A/WNT7A/ITGB2/DVL3/WNT4/PRKCI/YWHAZ/FZD6/BTRC/YWHAB/PPP1CA/FZD2/SCRIB/SOX2/BMP8A/ACTG1/WNT7B/TEAD4/CSNK1E",63,63,157
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","41/3832","105/8545",0.39047619047619,0.87072522119495,-1.20179911464182,0.903820448640491,1,0.870620354921887,"ITGA2B/CACNG3/CACNA2D2/CACNB1/ATP2A3/CACNG5/CACNG4/ACTB/ADCY2/GNAS/MYH7/CACNA1F/EMD/TGFB1/CACNG7/CACNG1/TNNC1/ITGA4/SLC8A2/TGFB3/ADCY7/TNNI3/CACNG6/AGT/ITGA11/ITGAV/ITGB7/CACNG8/PRKACB/TPM3/CACNA1D/ITGA5/ADCY9/ADCY1/TPM4/CACNB3/ATP2A2/ACTG1/ATP2A1/MYH6/TNF",41,41,105
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","48/3832","122/8545",0.39344262295082,0.877340086929738,-1.23039290385309,0.907437890065479,1,0.870620354921887,"CREB3L3/ELAVL1/PFKP/SREBF1/PPP2R2C/RAB10/PCK2/HNF4A/TSC2/RAB2A/PPP2R1A/PIK3R2/RHEB/CREB3/RPS6KB1/CCND1/HMGCR/PPP2CA/PFKFB4/PRKAG3/PIK3R3/STK11/PFKFB2/FBP2/CCNA1/IGF1R/PDPK1/G6PC3/RPTOR/PFKL/AKT1/CREB3L4/CCNA2/PPP2R5E/CREB3L1/ADIPOR1/CRTC2/PRKAA2/FBP1/PPP2R3B/RAB8A/CPT1C/RPS6KB2/ULK1/PRKAG1/EIF4EBP1/AKT1S1/CPT1B",48,48,122
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","74/3832","184/8545",0.402173913043478,0.89681004356903,-1.27588602053963,0.912042645493499,1,0.870620354921887,"SEMA3F/SEMA3B/CAMK2B/GNAI3/NGEF/PRKCZ/CAMK2A/CDC42/EPHA8/SEMA5B/GSK3B/SEMA4G/EFNA2/NFATC4/BMP7/PARD6A/PIK3R2/LIMK1/UNC5B/UNC5A/WNT5A/PIK3R3/MYL12B/CXCR4/PARD6B/RAC2/PAK4/PLXNA3/TRPC4/EPHB2/KRAS/PLXNC1/RAC1/PAK6/SEMA7A/BMPR1B/PDPK1/EFNA3/EPHA1/PAK1/ENAH/DPYSL5/NTN3/WNT4/NTNG1/SHH/CDK5/SEMA4C/EFNA1/PTK2/RAC3/RND1/CFL1/SSH3/RHOD/HRAS/PAK2/EPHB3/ROBO2/SEMA4B/SLIT1/SEMA4D/SEMA4A/NTNG2/EPHB4/PLXNB2/SRGAP1/SRC/PLXNB3/L1CAM/NRAS/MYL5/EFNA4/SRGAP2",74,74,184
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","47/3832","120/8545",0.391666666666667,0.873379871259569,-1.25951420287397,0.912353095301903,1,0.870620354921887,"BAD/MATK/MAPK9/CAMK2B/CAMK2A/CDC42/PSEN1/GSK3B/BAX/RIPK2/IKBKB/NFKBIB/PIK3R2/YWHAE/PRDM4/ARHGDIB/PIK3R3/FASLG/RPS6KA1/MAP2K2/KRAS/RAC1/PDPK1/TP53/ARHGDIA/AKT1/PSEN2/CALM2/NFKBIE/CAMK4/MAPK13/CALM3/SHC1/SH2B2/MAPKAPK2/PRKCD/FRS2/BEX3/CALML6/RELA/HRAS/GRB2/CALML5/MAGED1/IRAK1/MAPK12/NRAS",47,47,120
"hsa00603","Metabolism","Glycan biosynthesis and metabolism","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","5/3832","16/8545",0.3125,0.696845641962422,-1.09438315625808,0.912942078021377,1,0.870620354921887,"ST3GAL1/GLA/B3GALNT1/FUT2/NAGA",5,5,16
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","57/3832","144/8545",0.395833333333333,0.882671146485734,-1.28031027478404,0.914345944451513,1,0.870620354921887,"PAX6/JARID2/FGFR3/TCF3/GSK3B/REST/LHX5/AXIN1/JAK3/PIK3R2/DLX5/WNT2/DVL1/WNT3/HAND1/WNT5A/PCGF1/OTX1/ID2/PIK3R3/HOXB1/INHBA/ESX1/MAP2K2/DUSP9/KRAS/TBX3/ACVR1B/WNT10A/SKIL/BMPR1B/INHBE/IGF1R/AKT1/SETDB1/WNT9A/WNT3A/WNT7A/MAPK13/ZIC3/FGFR4/DVL3/WNT4/HESX1/FZD6/BMI1/ONECUT1/HRAS/GRB2/FZD2/SOX2/PCGF3/WNT7B/MAPK12/NRAS/LEFTY1/PCGF2",57,57,144
