,cluster,acc,mean nUMI,declining R^2,AUC,DC-age,DC,Cell Counts
48,48,0.6031042448618701,3650.5,0.9149666943953552,0.18663266578496046,0.44116906446845,DC1,316
49,49,0.49448278679335705,2082.9222972972975,0.8180843313981696,0.17251223147679232,0.338607275787711,DC1,296
50,50,0.6320044300807266,3245.562937062937,0.7040000540499696,0.167067010258782,0.46209324594939,DC1,286
51,51,0.6634025997553898,2072.225,0.9389662946545312,0.17979199737650672,0.536576744201555,DC1,280
52,52,0.08026328139242116,2208.86690647482,0.8830838571756752,0.1781436335586533,0.453041300103543,DC2,278
53,53,0.5355748492004969,3553.2707581227437,0.4485363472573386,0.18791144955176575,0.44334657802351,DC5,277
54,54,0.240283181219099,3649.9927536231885,0.9515402028153184,0.1879581490770302,0.258186733710094,DC2,276
55,55,0.4017020982447269,3165.981549815498,0.876661792743534,0.18727862410690696,0.127207816634904,DC3,271
56,56,0.5860786675904486,2950.143396226415,0.8202410151555999,0.1649611459015848,0.53082985024932,DC1,265
57,57,0.3594776715363458,2850.942084942085,0.7205725011655115,0.1739506568354099,0.178240280749642,DC16,259
58,58,0.66195481607892,2907.670731707317,0.9381293448820831,0.20027127836440473,0.0531378612568033,DC2,246
59,59,0.3916551190377307,3303.711382113821,0.8913011414228792,0.1841822361140543,0.407484061440182,DC1,246
60,60,0.6228748450992221,2862.071129707113,0.9545338304710411,0.15081418666934848,0.208890252656523,DC1,239
61,61,0.10754452034618796,4318.836206896552,0.7927173628106841,0.20667944264782212,0.328064842008217,DC2,232
62,62,0.5404799918901625,3320.413043478261,0.9198963186980194,0.18937019613383246,0.426687356820274,DC1,230
63,63,0.29858582754538715,2045.480349344978,0.9607938728146183,0.18254047825533612,0.548951139186843,DC2,229
64,64,0.49006139326218534,4628.275555555556,0.8590597963452662,0.18650498771710894,0.125937348585102,DC4,225
65,65,0.6940849139138442,2572.3972602739727,0.9572249907384178,0.19358785672608841,0.635784965644507,DC1,219
66,66,0.390321461309728,3503.4174311926604,0.8990947832149114,0.16300819483068513,0.24405325659126,DC2,218
67,67,0.6002880680059345,2565.412037037037,0.6512556043030922,0.19234644706949144,0.610342716848101,DC1,216
68,68,0.3943148034890703,2978.106976744186,0.6114310228710447,0.1749768724262477,0.375744690025769,DC3,215
69,69,0.44722313719553153,3443.839024390244,0.8700140326729087,0.17928175046221184,0.463654375335917,DC1,205
70,70,0.4258395416921304,3775.305,0.5898981906813361,0.17854715688352052,0.461803971632769,DC4,200
71,71,0.4758139410106943,3132.419689119171,0.8674098325527013,0.1816993350929572,0.420696350013758,DC1,193
72,72,0.3344547497963332,3161.421965317919,0.9363890840707406,0.20429096458492219,0.368202702136472,DC1,173
73,73,0.6799922870162974,5005.264516129032,0.8694119664487885,0.192990260428277,0.43785219676724,DC1,155
74,74,0.5317923699193992,4294.561151079137,0.6697597560800517,0.21408582275204704,0.490311602591188,DC1,139
75,75,0.11207636415946817,3355.9057971014495,0.7454838755023364,0.1852929787899927,0.13646789131022,DC16,138
76,76,0.025255308428363498,2691.641221374046,0.7830738683337298,0.17272315316728923,0.321552012084866,DC2,131
77,77,0.03929972875921717,2087.149606299213,0.9854561314303074,0.18795337327907127,0.583945101037476,DC1,127
78,78,0.5910381776726543,5392.951612903225,0.8812625748135563,0.20611164806286758,0.0814164597139859,DC8,124
79,79,0.33956789044809454,3380.102564102564,0.8026268929708443,0.18186670174130987,0.115135939026409,DC12,117
80,80,0.34321147935876845,5457.555555555556,0.8103737453899388,0.20879355976067773,0.463324396159037,DC1,99
81,81,0.74092318285781,4444.473684210527,0.28909286403378853,0.17649960753127256,0.187430031086702,DC1,95
82,82,0.33571267324740034,2795.9418604651164,0.754869477386851,0.1433425160697888,0.192220985412223,DC1,86
83,83,0.06829200737478536,3424.095238095238,0.10910154893040236,0.19081261685861908,0.372244194116055,DC1,84
84,84,0.12622648201668318,3787.4246575342468,0.6242251517378523,0.18790445244990703,0.453312840591872,DC1,73
85,85,-2.6792040593865734,7267.152542372882,0.7216877246709474,0.19080901782200485,0.13592883119197,DC6,59
86,86,-0.9018475621512863,6144.206896551724,0.3397234537518202,0.1981210203937476,0.333967075109364,DC4,29
87,87,0.5583796907207782,3431.8435204386487,0.0,0.18110533386335087,,,56902
